Gene name	Refseq Name (hg19)	Log2 Fold
NA	Intergenic	1.143482581
YPEL4	NM_145008	1.070558534
NA	Intergenic	1.0508291
NA	Intergenic	1.057738388
NA	Intergenic	1.019331008
SPTBN5 MIR4310	NM_016642;NR_036195	1.121271085
MICAL2 MIR6124	NM_001282668;NM_001282663;NM_014632;NM_001282664;NM_001282665;NM_001282666;NM_001282667;NR_106739	1.050439638
NA	Intergenic	1.274407598
ROMO1	NM_080748	1.114344407
CAPZB	NM_001282162;NM_001206540;NM_001206541;NM_004930	1.986593854
SH2D5	NM_001103160;NM_001103161	1.199551323
NA	Intergenic	1.079934469
NA	Intergenic	1.195515331
MYH7B MIR499A	NM_020884;NR_030223	1.653206262
LOC102031319	NR_104163	2.201706124
EPC1	NM_001272019;NM_001272004;NM_025209;NM_001282391;NR_104159;NR_104160	2.201706124
ADAM12	NM_001288973;NM_003474;NM_001288974;NM_001288975;NM_021641	1.87685834
TRIAP1	NM_016399	1.86967693
GATC	NM_176818;NR_033684	1.86967693
PHF19	NM_001286840;NM_001286842;NR_104601;NM_015651;NM_001009936;NM_001286843	1.096638033
RPTOR	NM_001163034;NM_020761	1.877329265
PPP4C	NM_002720	1.322632708
NA	Intergenic	1.803519497
TNPO1 MIR4804	NM_002270;NM_153188;NR_039968	2.102066251
LARS2-AS1	NR_048543	1.621563215
LARS2	NM_015340	1.621563215
NA	Intergenic	2.334398115
NA	Intergenic	1.044488921
FAM157C	NR_126161	1.073324793
NA	Intergenic	3.059709511
CENPP	NM_001286969;NM_001012267;NM_001286971	2.132573769
ENO1 LOC127326 LOC95257 MIR6728	NM_001201483;NM_001428;NR_106786	1.034019561
LOC101927865	NR_110283	1.59347916
RGMB	NM_001012761	1.351902943
PTHLH	NM_198966;NM_198965;NM_198964;NM_002820	1.097174157
PTPRN2 MIR153-2 MIR595	NM_002847;NM_130842;NM_130843;NR_029689;NR_030325	1.330157491
NA	Intergenic	1.79215485
NA	Intergenic	1.374846246
TMEM39B	NM_018056	1.61104927
NA	Intergenic	1.392449161
CSMD2	NM_001281956;NM_052896	1.346599941
NA	Intergenic	1.368170087
PKNOX1	NM_001286258;NM_004571	2.769899484
NA	Intergenic	1.621026585
NA	Intergenic	1.204693417
LOC101927865	NR_110283	1.286601565
NA	Intergenic	1.236539493
NA	Intergenic	1.249906789
TNRC6A	NM_014494	1.141685431
MAP1LC3A	NM_181509;NM_032514	1.278174181
NA	Intergenic	1.691310311
NA	Intergenic	1.069573818
ANKRD30BL MIR663B	NR_027019;NR_027020;NR_031608	1.096566146
NA	Intergenic	1.022769034
PLCD4	NM_032726	2.379200279
PIP5K1C	NM_001195733;NM_012398;NM_001300849	1.18857337
UBE2O	NM_022066	1.192369403
NA	Intergenic	2.26507727
NA	Intergenic	1.227511586
MAP1B MIR4803	NM_005909;NR_039967	1.239977165
NA	Intergenic	1.135616576
FBXW4	NM_022039	1.693028233
LOC101929705	NR_125865;NR_125864	1.148264428
C6orf223	NM_001171992;NM_153246	1.148264428
NA	Intergenic	1.131238126
PHF19	NM_001286840;NM_001286842;NR_104601;NM_015651;NM_001009936;NM_001286843	1.46397416
CCDC80	NM_199512;NM_199511	1.418902208
LOC101448202 MIR3689A MIR3689C MIR3689D1 MIR3689B MIR3689D2 MIR3689E MIR3689F	NR_103451;NR_037460;NR_039691;NR_039693;NR_037469;NR_039694;NR_039695;NR_039696	1.524084094
PTPRN2 MIR153-2 MIR595	NM_002847;NM_130842;NM_130843;NR_029689;NR_030325	2.269104115
NA	Intergenic	1.706802043
NA	Intergenic	2.07898492
BCAT2	NM_001284325;NM_001190;NM_001164773	2.4578892
NA	Intergenic	1.110394889
NA	Intergenic	1.174024642
LOC100288798	NR_125377;NR_125378;NR_125379;NR_125380;NR_125381	1.991208902
NA	Intergenic	2.494872582
NA	Intergenic	1.070416764
NA	Intergenic	1.91280866
NA	Intergenic	1.745983642
CERS2	NM_181746;NM_022075	1.552211886
NA	Intergenic	1.354357762
NA	Intergenic	1.726657859
ZNF814	NM_001144989	1.812063406
NA	Intergenic	2.138322217
WDR20	NM_181291;NM_001242416;NM_001242415;NR_038354;NM_181308;NM_144574;NM_001242418;NM_001242417;NM_001242414	2.626651313
TMBIM4 LOC115511	NM_001282606;NM_001282609;NM_001282610;NM_016056	2.340589392
MUC5B MIR6744	NM_002458;NR_106802	2.358961125
NA	Intergenic	2.616851948
LINC00565	NR_047495	2.773199295
NA	Intergenic	3.29599963
NA	Intergenic	Infpos
PPFIBP1	NM_177444;NM_001198916;NM_003622;NM_001198915	Infpos
