#Gene	log2(fold-change)array	q-value_array	log2(fold-change)RNA_seq	q-value_RNA_seq
AACS	0.0525499852777845	0.199443814965681	0.607025	0.691094
ELMO2	-0.801275542891356	0.0115277010229168	-0.883853	0.455255
RPS11	-0.301341761388015	0.194531939252087	0.0713771	0.957171
CREB3L1	-0.0312657659862665	0.309574868223417	-0.207743	0.925588
PNMA1	-0.185179300705613	0.0174670332150241	-0.724654	0.538282
MMP2	-0.382343118248994	0.0261558421098975	-0.22603	0.88745
SLMAP	-0.605247218745795	0.0512594189965666	-0.199557	0.904134
HAUS2	0.314740796400477	0.226655737785304	0.164511	0.937113
SAMD4A	0.0166466127036823	0.362569476132835	-0.483674	0.775695
TMEM216	0.252396832526665	0.242052617826803	-inf	0.317978
ABRA	0.355410580953259	0.232048446813838	inf	0.282
C10orf90	0.547325235066653	0.0543124906320023	2.24543	0.280161
SMARCD3	0.224006114908188	0.198888010830522	1.02304	0.526526
RALYL	0.0860211099540775	0.317100898334341	inf	0.192717
ZHX3	0.22977707380649	0.0498371569744626	1.17503	0.646744
GPR98	0.309719506050862	0.100845058440664	1.9235	0.526526
APBB2	-0.0250300247393798	0.362350219446405	-0.0518361	0.965625
C10orf25	0.179020370298229	0.121700326437394	2.24543	0.583852
KLHL13	0.0230978787821728	0.389880463130349	0.286073	0.897252
XDH	0.275353540416693	0.171273379232731	-0.0764981	0.943614
PDCL3	-0.0765926691959106	0.330155588718239	0.171429	0.942384
AEN	-0.245247637213884	0.00788852186970652	-0.4153	0.827137
CLK4	-0.0289781601075818	0.35419346186449	-0.661461	0.646919
KCNG1	0.165267307418975	0.239186056139245	1.14589	0.612226
DECR1	-0.531867944679608	0.104269171040121	-0.138557	0.938242
SALL1	-0.108856900517054	0.177965155858177	-0.776938	0.601151
PTPRR	-0.0231755034814398	0.365370799406371	-2.39843	0.355513
CADM4	0.302159937555109	0.152220321531661	0.508464	0.879321
IRAK1	0.434848736019339	0.0116273581376229	0.520743	0.716411
SLC10A7	0.267708936035321	0.10442613095203	-1.0765	0.66714
BRIX1	-0.421982563489503	0.112792501238985	-0.522754	0.778107
TMSB10	0.268488305441303	0.0267005910925434	0.763307	0.526526
LMAN1	-0.339589541032149	0.166771712788595	0.207151	0.8961
CXCL3	0.563484073846649	0.0354482777102927	1.27714	0.418608
SUMO1	0.131831685620272	0.264850187290253	0.429855	0.795761
GP1BA	0.164355003604083	0.28867533447406	2.50846	0.448408
OR7A10	0.18625068781361	0.237331637580415	inf	0.418608
DDB1	-1.11879315053207	0.00511575259028749	-1.52109	0.355513
STYK1	0.428792058392478	0.0606390624262584	inf	0.173469
MYO9B	0.783564767306469	0.00214662775929029	1.03369	0.418608
EP300	-0.274831347800682	0.074212549726181	-0.607013	0.708852
MMP7	-0.8222207969108	0.0183839235477015	-3.53593	0.479951
CCNI	0.0993018140496328	0.268303998965684	0.579386	0.643297
CRNKL1	-0.322368109491073	0.0112119260572217	-0.366005	0.880062
XAB2	-0.218884357917895	0.0212273492406636	-0.593897	0.715363
RTN1	0.321800338380486	0.0350891855850609	-0.0764981	0.964075
HIC2	0.405924348904856	0.0471854136228404	0.88286	0.594032
KLHL14	0.170207241626535	0.26121519384052	1.9235	0.710258
TBX10	0.301287698376214	0.19927835673211	inf	0.418608
UTY	-0.174935594665689	0.0605577673629329	-inf	0.0701408
CENPQ	-0.680877660764035	0.0393326839200475	-2.88385	0.54263
DTNBP1	0.127890244664481	0.237866589867234	-0.883853	0.664632
REEP6	-0.135959657411951	0.263797792563647	-1.19198	0.54569
ATP5G2	0.249917321290881	0.264850187290253	0.347342	0.845167
KBTBD8	0.32090295931503	0.199982969049457	0.408929	0.898465
ZEB1	0.959936716438142	0.0115561333858677	1.10184	0.418608
ZG16	0.0436881183315196	0.412634280577301	-0.0764981	0.925431
ERG	0.178854929495854	0.285890646893539	inf	0.00505161
FAT4	-0.236604154868762	0.0863859498682505	0.643394	0.761812
TMEM42	-0.00206008609838864	0.418237311063348	-2.16396	0.666614
SOD2	-0.74211533670741	0.0182252976550516	-0.96421	0.486389
CYTH1	-0.359236691708905	0.0555524088662806	0.0490347	0.968131
PNPT1	-0.213013152994472	0.252001545708545	-0.794727	0.599173
MIER1	0.0363696334404066	0.39913544082884	0.189092	0.911524
CHD9	0.0118601074401261	0.400913777604113	1.50846	0.28431
STK16	-0.04919932682233	0.287341692727759	-0.207729	0.943122
PDE1C	0.153744329655185	0.262446940341623	inf	0.0781638
SEMA4D	0.193150497240164	0.307860485852685	1.02304	0.472653
AGPAT1	0.444827947402242	0.00965225667989021	0.527573	0.839945
TOB2	0.344372225508397	0.164473587511615	1.8495	0.420082
BANK1	0.168805703776052	0.248761794942752	-inf	0.201325
NINL	0.124426459679988	0.260289520692133	-0.0764981	0.951836
MAP3K3	0.287667169734672	0.0173980390484195	-0.269144	0.901631
MAX	-0.0651677088346614	0.201851575922559	-0.643539	0.79021
OSBPL8	-0.415345591668386	0.186229647007893	-1.44573	0.366623
PROSC	0.466107158630954	0.0311049446110078	1.58061	0.333139
NR4A2	0.154883270249022	0.271966134669372	-0.0764981	0.959149
PIR	-0.899361816520751	0.0111036600660117	-2.49154	0.355513
LONP1	0.0109237655019884	0.362911311275897	0.900298	0.526526
IPO9	-0.953299409763114	0.0126136658728268	-0.794355	0.743934
EVC	-0.0313090228150217	0.341268668519635	-0.912111	0.526526
SCYL3	-0.469616832923499	0.0214564307898388	-0.169607	0.950936
SORL1	0.170767045202631	0.271413797625348	-1.0765	0.624484
FIBCD1	0.147323975555384	0.334424915883145	-inf	0.146465
NAT10	-1.22101896974332	0.00260033646906893	-1.05574	0.437821
CHD1	-0.139450768937816	0.287770715855328	-0.0879938	0.953589
C15orf41	0.270508331995145	0.0252013876401344	1.9235	0.418608
DMC1	0.59448439871887	0.00962477408606632	0.104074	0.958421
SLC22A2	0.280415713794165	0.108671054640593	inf	0.209127
SERPINF1	0.19101657661131	0.241176742211443	-0.0764981	0.955528
C20orf27	0.0249293973307329	0.375523397044523	-2.0765	0.418608
WDR34	0.348107493896354	0.0284145939006106	-0.118939	0.969139
RPS6KA5	0.285750765407039	0.0300715566934382	-0.983443	0.784536
HMX1	0.193865523820028	0.152541097112001	inf	0.418608
FAHD1	-0.334014150965757	0.205491978149194	0.100373	0.964109
EPT1	-0.483161303878014	0.070995989431181	-0.236959	0.899898
DHRS11	0.111640086455161	0.100464139528614	3.24543	0.341374
LHB	0.284110240737221	0.281026090057706	-inf	0.526915
TAOK3	-0.222232755294716	0.182521403769459	0.28501	0.861866
STK25	0.00677576797667558	0.386008939868271	-0.202031	0.899382
BRCA1	1.21026456861343	0.0129640129478708	2.1459	0.0535299
