#Gene	log2(fold-change)array	q-value_array
AACS	0.0525499852777845	0.199443814965681
ELMO2	-0.801275542891356	0.0115277010229168
RPS11	-0.301341761388015	0.194531939252087
CREB3L1	-0.0312657659862665	0.309574868223417
PNMA1	-0.185179300705613	0.0174670332150241
MMP2	-0.382343118248994	0.0261558421098975
SLMAP	-0.605247218745795	0.0512594189965666
HAUS2	0.314740796400477	0.226655737785304
SAMD4A	0.0166466127036823	0.362569476132835
TMEM216	0.252396832526665	0.242052617826803
ABRA	0.355410580953259	0.232048446813838
C10orf90	0.547325235066653	0.0543124906320023
SMARCD3	0.224006114908188	0.198888010830522
RALYL	0.0860211099540775	0.317100898334341
ZHX3	0.22977707380649	0.0498371569744626
GPR98	0.309719506050862	0.100845058440664
APBB2	-0.0250300247393798	0.362350219446405
C10orf25	0.179020370298229	0.121700326437394
KLHL13	0.0230978787821728	0.389880463130349
XDH	0.275353540416693	0.171273379232731
PDCL3	-0.0765926691959106	0.330155588718239
AEN	-0.245247637213884	0.00788852186970652
CLK4	-0.0289781601075818	0.35419346186449
KCNG1	0.165267307418975	0.239186056139245
DECR1	-0.531867944679608	0.104269171040121
SALL1	-0.108856900517054	0.177965155858177
PTPRR	-0.0231755034814398	0.365370799406371
CADM4	0.302159937555109	0.152220321531661
IRAK1	0.434848736019339	0.0116273581376229
SLC10A7	0.267708936035321	0.10442613095203
BRIX1	-0.421982563489503	0.112792501238985
TMSB10	0.268488305441303	0.0267005910925434
LMAN1	-0.339589541032149	0.166771712788595
CXCL3	0.563484073846649	0.0354482777102927
SUMO1	0.131831685620272	0.264850187290253
GP1BA	0.164355003604083	0.28867533447406
OR7A10	0.18625068781361	0.237331637580415
DDB1	-1.11879315053207	0.00511575259028749
STYK1	0.428792058392478	0.0606390624262584
MYO9B	0.783564767306469	0.00214662775929029
EP300	-0.274831347800682	0.074212549726181
MMP7	-0.8222207969108	0.0183839235477015
CCNI	0.0993018140496328	0.268303998965684
CRNKL1	-0.322368109491073	0.0112119260572217
XAB2	-0.218884357917895	0.0212273492406636
RTN1	0.321800338380486	0.0350891855850609
HIC2	0.405924348904856	0.0471854136228404
KLHL14	0.170207241626535	0.26121519384052
TBX10	0.301287698376214	0.19927835673211
UTY	-0.174935594665689	0.0605577673629329
CENPQ	-0.680877660764035	0.0393326839200475
DTNBP1	0.127890244664481	0.237866589867234
REEP6	-0.135959657411951	0.263797792563647
ATP5G2	0.249917321290881	0.264850187290253
KBTBD8	0.32090295931503	0.199982969049457
ZEB1	0.959936716438142	0.0115561333858677
ZG16	0.0436881183315196	0.412634280577301
ERG	0.178854929495854	0.285890646893539
FAT4	-0.236604154868762	0.0863859498682505
TMEM42	-0.00206008609838864	0.418237311063348
SOD2	-0.74211533670741	0.0182252976550516
CYTH1	-0.359236691708905	0.0555524088662806
PNPT1	-0.213013152994472	0.252001545708545
MIER1	0.0363696334404066	0.39913544082884
CHD9	0.0118601074401261	0.400913777604113
STK16	-0.04919932682233	0.287341692727759
PDE1C	0.153744329655185	0.262446940341623
SEMA4D	0.193150497240164	0.307860485852685
AGPAT1	0.444827947402242	0.00965225667989021
TOB2	0.344372225508397	0.164473587511615
BANK1	0.168805703776052	0.248761794942752
NINL	0.124426459679988	0.260289520692133
MAP3K3	0.287667169734672	0.0173980390484195
MAX	-0.0651677088346614	0.201851575922559
OSBPL8	-0.415345591668386	0.186229647007893
PROSC	0.466107158630954	0.0311049446110078
NR4A2	0.154883270249022	0.271966134669372
PIR	-0.899361816520751	0.0111036600660117
LONP1	0.0109237655019884	0.362911311275897
IPO9	-0.953299409763114	0.0126136658728268
EVC	-0.0313090228150217	0.341268668519635
SCYL3	-0.469616832923499	0.0214564307898388
SORL1	0.170767045202631	0.271413797625348
FIBCD1	0.147323975555384	0.334424915883145
NAT10	-1.22101896974332	0.00260033646906893
CHD1	-0.139450768937816	0.287770715855328
C15orf41	0.270508331995145	0.0252013876401344
DMC1	0.59448439871887	0.00962477408606632
SLC22A2	0.280415713794165	0.108671054640593
SERPINF1	0.19101657661131	0.241176742211443
C20orf27	0.0249293973307329	0.375523397044523
WDR34	0.348107493896354	0.0284145939006106
RPS6KA5	0.285750765407039	0.0300715566934382
HMX1	0.193865523820028	0.152541097112001
FAHD1	-0.334014150965757	0.205491978149194
EPT1	-0.483161303878014	0.070995989431181
DHRS11	0.111640086455161	0.100464139528614
LHB	0.284110240737221	0.281026090057706
TAOK3	-0.222232755294716	0.182521403769459
STK25	0.00677576797667558	0.386008939868271
BRCA1	1.21026456861343	0.0129640129478708
CDC25B	0.258696677729292	0.00575406991886939
BMP3	0.229840118862797	0.266581962836282
TMEM180	-0.247890697844209	0.0284111889909615
SLK	0.484734328481264	0.100299101271945
SLCO2B1	0.223070276500865	0.195653713507108
USP6NL	-0.373729719841921	0.0883382025938547
BAZ1B	0.425294696918814	0.0231951025072266
ABCD4	-0.06951116656986	0.262446940341623
BBS12	0.3438233466117	0.0794903355171739
LRGUK	0.120028536899353	0.233615482222609
TEK	0.14702034580175	0.251590509694297
SLC25A46	-0.0516369473820109	0.298487762857342
LARP7	-0.330199365023879	0.184905926719857
TERF2IP	0.00347005215590362	0.40774823695134
CD160	0.271755425992854	0.154299124440112
PHF20	-0.45389388995895	0.0244635169205276
CPNE4	0.297394289674704	0.0749670366356051
COL1A1	0.137951457146328	0.0118488773957947
GTPBP1	-0.329754448534544	0.0104534690660386
GRK5	0.000527500611565737	0.389775770109852
AP1S2	-0.366885646558853	0.0993614192230856
RAB33B	0.114010326253818	0.105625878404379
CA11	0.259467069879378	0.280541317353409
ALDOC	-0.241864671323919	0.167595595072232
OR4A15	0.039929553552147	0.344920557598025
ZNF212	0.171704384098156	0.229295679654652
NUDT1	0.437656252382515	0.0757054593070655
ACBD3	-0.621283786704876	0.0154845915506293
ZNF83	0.222492805427489	0.220621822815363
PRDM2	-0.20502685396275	0.0145910968432005
SEL1L3	-0.268510846051549	0.103003222051379
GDPD5	-0.0228917265160964	0.372971022514053
PDCD4	-0.642418118131092	0.00864300192339781
CEP350	0.0797545958449547	0.348213314416845
FOXP3	0.317294726450022	0.212823419107518
SMYD3	-0.221922638993039	0.0540702386842434
CST7	0.175617098054471	0.303073633391677
CIAO1	-0.834132889779621	0.00413510894628589
SELL	0.235603458637329	0.213838489133751
LGI2	0.269162440194438	0.146563184756053
ANKRD6	0.236793488064076	0.211633445830933
LTBP4	0.421793206787036	0.0808284084908409
SHROOM1	0.211095174300016	0.189398464878788
CIDECP	0.164795178083732	0.253880996859089
SIRT6	-0.0322685090579224	0.365386061568218
PPIL1	0.801086213811423	0.023005847869299
VWA5A	-0.381964492689808	0.00868197681359113
STK17A	-0.487663402617303	0.119595896496045
FOXE1	0.187415004798287	0.24739437456051
SIAH3	0.368299879638877	0.264506156906797
C2CD3	0.20080591795458	0.0712152421784481
CNPY4	0.201440038857398	0.128901339227752
CD38	0.35326378962262	0.121447113623734
CNGA3	0.299978081625865	0.178680892342869
ZDHHC6	0.19884537793733	0.207500435383627
CTDSP2	-2.1730690904703	0.000794296395542529
PGBD5	0.137107709411027	0.236812141638925
CCNY	1.18158943821206	0.00410441984699507
DUSP4	-1.33991979890986	0.00124322319800332
RMND5B	0.723067694987559	0.00459704785836187
C11orf88	0.157940958732081	0.256181114094219
ROR2	0.246269053166073	0.298872259208577
FOXM1	0.636731312217144	0.00239454162846389
ZBTB48	0.112730726889524	0.227682555743852
BUD31	-0.0120414992517457	0.388985352133314
MAOA	-0.195113685719197	0.151097292698691
FAM174A	-0.0842220618153568	0.29818033980431
FBXO11	0.041542821929498	0.412634280577301
GYPC	-0.138219480034521	0.228146269886398
RFXAP	0.119355393944661	0.013867002472251
CDK8	1.87622152809247	0.0208696027196639
F8A1	-0.159682056448518	0.0906405701639064
HDAC7	0.0674123401394377	0.247391132456978
ALG2	-0.502110615094386	0.0300741608446493
PPP1R3D	-0.108673446097031	0.266744260476298
GRB2	-0.0206319040253016	0.372868651881611
TPM3	0.238832553827885	0.213362762065697
EIF1	-0.120074405806262	0.184057949303187
CETN3	-0.125947609648185	0.264341685636038
CDK1	1.19686139627565	0.0498371569744626
NTHL1	0.104511289197244	0.231696597279183
POLR2B	-0.295542127033761	0.204931294752234
GPN2	-0.110133571934509	0.103895386560092
TRAPPC9	-0.232218486701625	0.0178757751156732
P2RX3	0.126672136359339	0.276364440468215
GCC2	-0.671376522972867	0.0364090462188561
RARRES3	-0.269920727084167	0.112643644475424
WBP4	-0.0394181297091065	0.363331963654119
PLXNA1	0.698144587366783	0.00160640191155112
KIAA0100	0.240193540791443	0.094660904381112
CRELD2	0.114137815525519	0.268704452464927
CD82	0.736697675374416	0.0019541155896319
PMM1	0.487861649785476	0.00556623028305522
CBLL1	0.32219426357444	0.200798239563555
IL1F10	0.291799803551813	0.193060157976037
VAX2	0.172888046281922	0.299848099704406
SETDB1	-0.0396198289942872	0.326247586122954
NFE4	0.422345200037815	0.00770555354430048
GCLM	-0.365887150700192	0.131253835052754
PPM1A	0.363587755574585	0.130169388844473
CPEB3	0.526317537827226	0.0158684821111222
INTS1	0.0873516738165619	0.252092595634909
MMP16	0.880556097108776	0.0143292391034673
CAMTA1	0.194044333204109	0.278753520081961
ORC1	0.825877727794168	0.0088400270539491
GMPPA	-0.29740777864781	0.0128302874225367
C11orf73	-0.0747045389805882	0.305592195592117
PTP4A2	-0.0723837339716018	0.267451959789221
IL24	0.163584126200893	0.198888010830522
HPCA	0.319628080027736	0.204065834186296
SEC14L1	0.670633275897726	0.00866303538453485
MLF1	-0.548965731623525	0.0962350978536907
ID1	-0.795706196363009	0.00229521909036332
NDUFS4	-0.335706901900482	0.112745322640913
THADA	-0.273902624973041	0.0736437073157922
TAF12	-0.271103855351496	0.0574861813413173
PIK3CB	-0.470614887228032	0.146868035216161
TBC1D17	-0.299645399764678	0.0326369241091469
CDCA4	1.14516501315906	0.00177073222745337
C2orf44	0.0476600495103242	0.294064665359185
C9orf16	0.124190213222556	0.261896256141016
ERBB2IP	-0.471028246349915	0.183971019208225
FUS	0.268319621122427	0.0752374049955126
IMMP1L	0.167601256304913	0.22217264424677
EMX2	0.26798859114179	0.156053809556112
NIPSNAP3B	0.0334083675123185	0.348243820429054
TF	0.075228490374269	0.268668061638995
CXorf56	-0.167560914268298	0.188840074405488
CLCN4	0.618555436246619	0.00221031436394713
PWP2	-0.132896482020909	0.161229423140462
MMP15	0.103310014017366	0.34975991541317
C11orf72	0.0100790752208671	0.420108662910947
ELAC2	0.0309102797055612	0.318022774245828
DNAH11	0.144415761734843	0.17790640825923
MTMR14	-0.502316310962778	0.00654941772789859
TMEM59	-0.327316394933278	0.099198516896245
SEC23IP	-0.373744562442798	0.0962202280327244
POLR2J	0.146011331247449	0.231408126591046
RGS4	0.0615156018069909	0.33946066307795
UQCRC1	-0.220604930785965	0.014170429369185
SNX6	-0.808606664203091	0.0626108745511999
DDX18	-0.15419170129496	0.286644080886298
POLG	-0.0673697968999428	0.239438884348821
ADAM23	0.345947447643967	0.015172231381637
ZNHIT2	0.139542984602813	0.301818885121795
RICTOR	-0.29655930653741	0.190129719328896
NCDN	-0.253143771328122	0.0140345011539044
RAG1	0.0626915617624431	0.338143746630148
TMEM104	-0.440526279534899	0.0106197798516218
PTPN5	0.2680052361883	0.223875889604777
